"time"	"totcarea"	"numcohorts"	"n_Slow"	"n_Fast"	"n_LLP"	"n_SLB"	"n_Intermediate"	"ba_Slow"	"ba_Fast"	"ba_LLP"	"ba_SLB"	"ba_Intermediate"	"agb_Slow"	"agb_Fast"	"agb_LLP"	"agb_SLB"	"agb_Intermediate"	"n_Slow_1"	"n_Slow_2"	"n_Slow_3"	"n_Slow_4"	"n_Slow_5"	"n_Slow_6"	"n_Fast_1"	"n_Fast_2"	"n_Fast_3"	"n_Fast_4"	"n_Fast_5"	"n_Fast_6"	"n_LLP_1"	"n_LLP_2"	"n_LLP_3"	"n_LLP_4"	"n_LLP_5"	"n_LLP_6"	"n_SLB_1"	"n_SLB_2"	"n_SLB_3"	"n_SLB_4"	"n_SLB_5"	"n_SLB_6"	"n_Intermediate_1"	"n_Intermediate_2"	"n_Intermediate_3"	"n_Intermediate_4"	"n_Intermediate_5"	"n_Intermediate_6"	"ba_Slow_1"	"ba_Slow_2"	"ba_Slow_3"	"ba_Fast_1"	"ba_Fast_2"	"ba_Fast_3"	"ba_LLP_1"	"ba_LLP_2"	"ba_LLP_3"	"ba_SLB_1"	"ba_SLB_2"	"ba_SLB_3"	"ba_Intermediate_1"	"ba_Intermediate_2"	"ba_Intermediate_3"	"agb_Slow_1"	"agb_Slow_2"	"agb_Slow_3"	"agb_Fast_1"	"agb_Fast_2"	"agb_Fast_3"	"agb_LLP_1"	"agb_LLP_2"	"agb_LLP_3"	"agb_SLB_1"	"agb_SLB_2"	"agb_SLB_3"	"agb_Intermediate_1"	"agb_Intermediate_2"	"agb_Intermediate_3"
795	3.63588421240288	2462	1367.98438152923	14.6729692791211	149.041470032056	5.55573809774887	30.6855057025499	17.3039617714149	0.174009512168481	10.2305266434376	0.0185942025855419	0.387772948903109	164.443987810476	1.06891648547427	118.750890068569	0.0841003677862956	3.5049688991267	3283.66451217952	1284.58387035355	4633.61838253307	78.8304144880726	4.57009668760765	1367.98438152923	284.307492315054	13.5666128157024	318.704105130756	1.07067727520113	0.0356791882174886	14.6729692791211	186.671715027082	109.657438095041	302.549153122123	30.226707272474	9.15732466454141	149.041470032056	351.944298741183	5.55573809774887	374.330036838931	0	0	5.55573809774887	169.683217667654	28.5943081536895	204.517525821343	1.99239507282245	0.0988024760379763	30.6855057025499	8.65317076820222	6.67264034185554	1.97815066135713	0.0709340871322427	0.0910811574657736	0.0119942675704648	0.975859454242906	3.30497384338825	5.94969334580643	0.0185942025855419	0	0	0.178587715040743	0.174765205082321	0.0344200287800442	50.3033489786528	80.6052875763575	33.5353512554661	0.245341432290517	0.701433061546206	0.12214199163755	4.68523308521163	32.2009957613553	81.8646612220024	0.0841003677862956	0	0	0.972004969350754	2.00694379129994	0.526020138475998
800	3.63576638339432	2458	1367.9781377901	14.6734905202338	149.0416407024	5.55477909635648	30.6855057025499	17.2980698630697	0.174176533553611	10.2312169615731	0.0185910570170966	0.387772948903109	164.331283809769	1.0705991985963	118.755690721298	0.0840903352009699	3.5049688991267	3283.66451217952	1284.57847816474	4633.61299034426	78.8316836318105	4.56797599354761	1367.9781377901	284.307492315054	13.5666128157024	318.704105130756	1.07067727520113	0.0362004293302119	14.6734905202338	186.668626963419	109.647536908901	302.536163872321	30.2363875708219	9.15771622267692	149.0416407024	351.944298741183	5.55477909635648	374.329077837539	0	0	5.55477909635648	169.683217667654	28.5943081536895	204.517525821343	1.99239507282245	0.0988024760379763	30.6855057025499	8.65299371795559	6.67203739978565	1.97303874532841	0.0709340871322427	0.0910811574657736	0.0121612889555951	0.975379645783199	3.30707729413776	5.94876002165217	0.0185910570170966	0	0	0.178587715040743	0.174765205082321	0.0344200287800442	50.3018188260407	80.5972720597037	33.4321929240252	0.245341432290517	0.701433061546206	0.123824704759576	4.68231657258347	32.224361901159	81.8490122475552	0.0840903352009699	0	0	0.972004969350754	2.00694379129994	0.526020138475998
805	3.63578857095172	2457	1367.97266006873	14.6748712860151	149.035507549325	5.55397696893381	30.6855057025499	17.2953793920241	0.174649565325892	10.2336023419251	0.0185883295879078	0.387772948903109	164.282717421953	1.07543027273775	118.786483897749	0.0840817961557856	3.5049688991267	3283.66451217952	1284.57303199633	4633.60754417585	78.8260892456231	4.57353882677382	1367.97266006873	284.307492315054	13.5666128157024	318.704105130756	1.07067727520113	0.0375811951115771	14.6748712860151	186.690448365168	109.631329613017	302.541777978185	30.245287009739	9.15889092656914	149.035507549325	351.944298741183	5.55397696893381	374.328275710116	0	0	5.55397696893381	169.683217667654	28.5943081536895	204.517525821343	1.99239507282245	0.0988024760379763	30.6855057025499	8.65276562308374	6.66970684792191	1.97290692101842	0.0709340871322427	0.0910811574657736	0.0126343207278755	0.974924157008978	3.30916487437288	5.94951331054329	0.0185883295879078	0	0	0.178587715040743	0.174765205082321	0.0344200287800442	50.2996692559618	80.5618748978122	33.4211732681789	0.245341432290517	0.701433061546206	0.128655778901024	4.67946403261812	32.2478984510812	81.85912141405	0.0840817961557856	0	0	0.972004969350754	2.00694379129994	0.526020138475998
810	3.63566483625516	2451	1367.96533803823	14.6760661313396	149.042326886698	5.55232946062833	30.6855057025499	17.2888288045086	0.175086261594702	10.2339237659656	0.0185699509191848	0.387772948903109	164.157986040492	1.07994801835247	118.785870030646	0.0839616256143731	3.5049688991267	3283.66451217952	1284.56719811683	4633.60171029635	78.8135250997782	4.58461482162452	1367.96533803823	284.307492315054	13.5666128157024	318.704105130756	1.07067727520113	0.0387760404360304	14.6760661313396	186.693956794876	109.63241775649	302.546374551366	30.2498033630875	9.16010576712041	149.042326886698	351.944298741183	5.55232946062833	374.326628201811	0	0	5.55232946062833	169.683217667654	28.5943081536895	204.517525821343	1.99239507282245	0.0988024760379763	30.6855057025499	8.65258779224939	6.66490556152439	1.97133545073484	0.0709340871322427	0.0910811574657736	0.0130710169966858	0.974671953654887	3.31063471372836	5.9486170985824	0.0185699509191848	0	0	0.178587715040743	0.174765205082321	0.0344200287800442	50.2981352460245	80.4879605000072	33.3718902944602	0.245341432290517	0.701433061546206	0.133173524515746	4.67781283037122	32.2650594638706	81.8429977364037	0.0839616256143731	0	0	0.972004969350754	2.00694379129994	0.526020138475998
815	3.63570738639587	2451	1367.96201422201	14.677100090443	149.044804249587	5.55186926721754	30.6855057025499	17.287755090979	0.175488596904438	10.2341649917435	0.0185686124742041	0.387772948903109	164.137739616461	1.08416124789563	118.78407012191	0.0839587808545094	3.5049688991267	3283.66451217952	1284.56122064963	4633.59573282915	78.8140764510561	4.58671712131835	1367.96201422201	284.307492315054	13.5666128157024	318.704105130756	1.07067727520113	0.0398099995394754	14.677100090443	186.719208505769	109.630102218815	302.569310724583	30.2522122230061	9.16248980776638	149.044804249587	351.944298741183	5.55186926721754	374.3261680084	0	0	5.55186926721754	169.683217667654	28.5943081536895	204.517525821343	1.99239507282245	0.0988024760379763	30.6855057025499	8.65246555923906	6.66405158204376	1.97123794969622	0.0709340871322427	0.0910811574657736	0.0134733523064222	0.974486235084001	3.31156232590275	5.94811643075677	0.0185686124742041	0	0	0.178587715040743	0.174765205082321	0.0344200287800442	50.2971560178412	80.4748115302895	33.3657720683308	0.245341432290517	0.701433061546206	0.137386754058907	4.67651929837433	32.2759751391378	81.8315756843977	0.0839587808545094	0	0	0.972004969350754	2.00694379129994	0.526020138475998
820	3.63580371830262	2450	1367.95956279295	14.677100090443	149.059382565716	5.5505984978266	30.6855057025499	17.2885715994466	0.175488596904438	10.2366643123383	0.0185509596453662	0.387772948903109	164.157435005673	1.08416124789563	118.816677338839	0.083835211528431	3.5049688991267	3283.66451217952	1284.55560901435	4633.59012119388	78.8136428731812	4.59031090541241	1367.95956279295	284.307492315054	13.5666128157024	318.704105130756	1.07067727520113	0.0398099995394754	14.677100090443	186.725770754968	109.640989849737	302.586760604705	30.2511807231661	9.1672119928133	149.059382565716	351.944298741183	5.5505984978266	374.324897239009	0	0	5.5505984978266	169.683217667654	28.5943081536895	204.517525821343	1.99239507282245	0.0988024760379763	30.6855057025499	8.65231965348688	6.66276951040713	1.97348243555255	0.0709340871322427	0.0910811574657736	0.0134733523064222	0.974347485755096	3.31207099936801	5.95024582721521	0.0185509596453662	0	0	0.178587715040743	0.174765205082321	0.0344200287800442	50.2959631375681	80.4548237266336	33.4066481414717	0.245341432290517	0.701433061546206	0.137386754058907	4.67527009931088	32.2824302987496	81.8589769407781	0.083835211528431	0	0	0.972004969350754	2.00694379129994	0.526020138475998
825	3.63582431329472	2449	1367.95856076165	14.677100090443	149.067596330698	5.55037438317608	30.6855057025499	17.2886170581848	0.175488596904438	10.2368191099107	0.0185509301267112	0.387772948903109	164.161111155442	1.08416124789563	118.814605241585	0.083838786802694	3.5049688991267	3283.66451217952	1284.55268593391	4633.58719811343	78.8054441504697	4.60043067726384	1367.95856076165	284.307492315054	13.5666128157024	318.704105130756	1.07067727520113	0.0398099995394754	14.677100090443	186.722165231406	109.67659927362	302.618764505026	30.2188050840071	9.17219197307112	149.067596330698	351.944298741183	5.55037438317608	374.324673124359	0	0	5.55037438317608	169.683217667654	28.5943081536895	204.517525821343	1.99239507282245	0.0988024760379763	30.6855057025499	8.6520626340513	6.65963228901158	1.97692213512189	0.0709340871322427	0.0910811574657736	0.0134733523064222	0.975094372911852	3.3112800347727	5.95044470222616	0.0185509301267112	0	0	0.178587715040743	0.174765205082321	0.0344200287800442	50.2933611968095	80.4056888125852	33.4620611460468	0.245341432290517	0.701433061546206	0.137386754058907	4.67975361903655	32.279064907312	81.8557867152362	0.083838786802694	0	0	0.972004969350754	2.00694379129994	0.526020138475998
830	3.6356987875403	2444	1367.95607805281	14.677100090443	149.085156288168	5.55018083458325	30.6855057025499	17.2862656417487	0.175488596904438	10.2330873313163	0.01855082207882	0.387772948903109	164.118467609333	1.08416124789563	118.753825418693	0.0838416273650512	3.5049688991267	3283.66451217952	1284.54979433322	4633.58430651274	78.8080049883819	4.59827873120483	1367.95607805281	284.307492315054	13.5666128157024	318.704105130756	1.07067727520113	0.0398099995394754	14.677100090443	186.704068255309	109.692237843168	302.616306098477	30.2172705478012	9.17564789719894	149.085156288168	351.944298741183	5.55018083458325	374.324479575766	0	0	5.55018083458325	169.683217667654	28.5943081536895	204.517525821343	1.99239507282245	0.0988024760379763	30.6855057025499	8.65183044226344	6.65936204519818	1.97507315428706	0.0709340871322427	0.0910811574657736	0.0134733523064222	0.97492018726267	3.3111908892418	5.94697625481182	0.01855082207882	0	0	0.178587715040743	0.174765205082321	0.0344200287800442	50.2909978684425	80.4008431074118	33.4266266334789	0.245341432290517	0.701433061546206	0.137386754058907	4.67819986487553	32.2787528928277	81.7968726609895	0.0838416273650512	0	0	0.972004969350754	2.00694379129994	0.526020138475998
835	3.63576911500818	2443	1367.9545711869	14.677100090443	149.101113861135	5.55011290907513	30.6855057025499	17.2877395957383	0.175488596904438	10.2328536235663	0.018563969919734	0.387772948903109	164.14897783501	1.08416124789563	118.745710117268	0.0839636156964821	3.5049688991267	3283.66451217952	1284.54375896163	4633.57827114115	78.8116919594463	4.59912026582322	1367.9545711869	284.307492315054	13.5666128157024	318.704105130756	1.07067727520113	0.0398099995394754	14.677100090443	186.706957094063	109.685409951345	302.612367045407	30.2344916557808	9.18121225400932	149.101113861135	351.944298741183	5.55011290907513	374.324411650258	0	0	5.55011290907513	169.683217667654	28.5943081536895	204.517525821343	1.99239507282245	0.0988024760379763	30.6855057025499	8.65172998092509	6.6591136897951	1.97689592501809	0.0709340871322427	0.0910811574657736	0.0134733523064222	0.974175326422828	3.31153565198517	5.94714264515836	0.018563969919734	0	0	0.178587715040743	0.174765205082321	0.0344200287800442	50.290190625432	80.3965167887209	33.4622704208567	0.245341432290517	0.701433061546206	0.137386754058907	4.67291683690401	32.2802619349959	81.7925313453678	0.0839636156964821	0	0	0.972004969350754	2.00694379129994	0.526020138475998
840	3.63595224107272	2446	1367.95451669332	14.677100090443	149.108489733718	5.55094962430608	30.6855057025499	17.2900444113442	0.175488596904438	10.2384111626746	0.0185844205815846	0.387772948903109	164.196924707862	1.08416124789563	118.827061591581	0.0841267961509771	3.5049688991267	3283.66451217952	1284.53908910467	4633.57360128419	78.8096313651722	4.60579622348339	1367.95451669332	284.307492315054	13.5666128157024	318.704105130756	1.07067727520113	0.0398099995394754	14.677100090443	186.710466451765	109.774144708773	302.704611160538	30.1468565739421	9.18748845100301	149.108489733718	351.944298741183	5.55094962430608	374.325248365489	0	0	5.55094962430608	169.683217667654	28.5943081536895	204.517525821343	1.99239507282245	0.0988024760379763	30.6855057025499	8.65162589393343	6.65726334593864	1.98115517147209	0.0709340871322427	0.0910811574657736	0.0134733523064222	0.976793998608942	3.30868896551204	5.9529281985536	0.0185844205815846	0	0	0.178587715040743	0.174765205082321	0.0344200287800442	50.2893776291868	80.3675453896197	33.5400016890556	0.245341432290517	0.701433061546206	0.137386754058907	4.68935881598783	32.2623501398274	81.8753526357659	0.0841267961509771	0	0	0.972004969350754	2.00694379129994	0.526020138475998
845	3.63596535677604	2445	1367.95456123912	14.677100090443	149.107841945981	5.55076426605617	30.6855057025499	17.2890928463569	0.175488596904438	10.2411905314206	0.0185817156217806	0.387772948903109	164.181443231103	1.08416124789563	118.867744450887	0.0841086694757442	3.5049688991267	3283.66451217952	1284.53787967093	4633.57239185046	78.8094847984909	4.60719676969441	1367.95456123912	284.307492315054	13.5666128157024	318.704105130756	1.07067727520113	0.0398099995394754	14.677100090443	186.693160957082	109.898135072121	302.811296029203	30.0165403846093	9.19316648925087	149.107841945981	351.944298741183	5.55076426605617	374.325063007239	0	0	5.55076426605617	169.683217667654	28.5943081536895	204.517525821343	1.99239507282245	0.0988024760379763	30.6855057025499	8.65141256008429	6.65627233193669	1.98140795433587	0.0709340871322427	0.0910811574657736	0.0134733523064222	0.980634505984877	3.30418437861484	5.95637164682091	0.0185817156217806	0	0	0.178587715040743	0.174765205082321	0.0344200287800442	50.2871248628095	80.3513580222934	33.5429603460005	0.245341432290517	0.701433061546206	0.137386754058907	4.71383154616097	32.2320186354475	81.9218942692787	0.0841086694757442	0	0	0.972004969350754	2.00694379129994	0.526020138475998
850	3.6358715072315	2441	1367.95250934288	14.677100090443	149.118333028746	5.55060418804093	30.6855057025499	17.2859942082532	0.175488596904438	10.2417717033288	0.0185792135806739	0.387772948903109	164.124476732612	1.08416124789563	118.875491917486	0.0840915052037179	3.5049688991267	3283.66451217952	1284.53626567551	4633.57077785503	78.8126921833017	4.60355148406447	1367.95250934288	284.307492315054	13.5666128157024	318.704105130756	1.07067727520113	0.0398099995394754	14.677100090443	186.663093700857	109.977661276942	302.860754977799	29.9432269213708	9.19744483043329	149.118333028746	351.944298741183	5.55060418804093	374.324902929224	0	0	5.55060418804093	169.683217667654	28.5943081536895	204.517525821343	1.99239507282245	0.0988024760379763	30.6855057025499	8.65124653907822	6.65612750145922	1.97862016771576	0.0709340871322427	0.0910811574657736	0.0134733523064222	0.98274482876347	3.30138515467603	5.95764171988927	0.0185792135806739	0	0	0.178587715040743	0.174765205082321	0.0344200287800442	50.2853680456957	80.3483545558748	33.4907541310416	0.245341432290517	0.701433061546206	0.137386754058907	4.72709974758193	32.212237260873	81.9361549090312	0.0840915052037179	0	0	0.972004969350754	2.00694379129994	0.526020138475998
